player_name,hr_count,avg_hr_distance,max_hr_distance,avg_launch_speed,max_launch_speed,barrels,brl_percent
"Bieber, Shane",11,396.0,423,104.12727272727274,112.2,,
"Sasaki, Roki",6,396.0,427,105.55,113.1,,
"Abbott, Andrew",19,395.9,437,103.40526315789474,110.4,,
"Wilson, Bryse",11,395.8,417,106.35454545454546,114.3,,
"Ragans, Cole",9,395.7,419,103.7,110.8,,
"Rea, Colin",23,395.7,440,103.20952380952382,110.5,,
"Keller, Mitch",21,395.6,451,105.06190476190477,114.1,,
"Garcia, Rico",5,395.6,404,103.12,105.3,,
"Santillan, Tony",7,395.4,437,107.61428571428571,114.3,,
"Webb, Logan",14,395.4,454,105.43571428571428,114.8,,
"Taillon, Jameson",26,395.3,436,104.55,117.4,,
"Pérez, Martín",6,395.3,427,104.73333333333333,112.6,,
"Hill, Tim",8,395.2,420,105.0125,108.4,,
"Vasil, Mike",8,395.2,434,103.6125,109.9,,
"Bubic, Kris",7,395.2,436,104.51428571428572,112.4,,
"Walker, Taijuan",21,395.0,452,104.6047619047619,111.3,,
"Zeferjahn, Ryan",12,395.0,433,103.44166666666666,114.9,,
"Darvish, Yu",14,395.0,423,103.67142857142856,109.6,,
"Latz, Jacob",7,395.0,431,104.57142857142857,108.8,,
"Lee, Chase",7,395.0,431,104.95714285714287,108.1,,
"Hendricks, Kyle",25,395.0,423,102.8,109.4,,
"Buehler, Walker",22,394.9,433,104.7590909090909,110.7,,
"Beeks, Jalen",6,394.8,419,104.91666666666667,108.7,,
"Miller, Shelby",5,394.8,408,106.02000000000001,109.3,,
"Quintana, Jose",20,394.8,446,105.93157894736842,116.5,,
"Allen, Logan",18,394.6,441,104.9388888888889,111.5,,
"Cecconi, Slade",24,394.4,452,104.61666666666667,114.5,,
"Arrighetti, Spencer",6,394.2,405,103.16666666666667,108.5,,
"Dunning, Dane",7,394.1,424,103.68571428571428,108.1,,
"Wilson, Steven",7,394.1,451,103.84285714285714,114.9,,
"Berríos, José",27,394.1,436,103.32222222222221,110.0,,
"Leiter, Jack",18,394.1,479,105.87222222222222,111.6,,
"Pallante, Andre",21,394.0,448,104.75714285714287,109.6,,
"Warren, Will",30,394.0,438,104.38214285714285,114.3,,
"Greene, Hunter",19,393.8,457,105.05263157894737,117.7,,
"King, Michael",12,393.7,437,107.075,113.0,,
"Brown, Ben",19,393.7,431,105.93333333333334,112.1,,
"Rutledge, Jackson",16,393.6,434,104.85625,110.3,,
"Pérez, Eury",12,393.6,433,103.11666666666667,111.4,,
"Romano, Jordan",10,393.5,455,102.06,114.4,,
"Garcia, Robert",9,393.4,439,105.19999999999999,111.8,,
"Suarez, Robert",7,393.4,415,105.17142857142858,108.7,,
"Varland, Louis",10,393.3,412,104.49000000000001,109.3,,
"Allard, Kolby",6,393.2,431,102.5,108.9,,
"Meyer, Max",13,393.2,429,104.22307692307693,109.5,,
"Jobe, Jackson",8,393.1,436,104.78750000000001,111.4,,
"Weissert, Greg",6,393.0,439,104.18333333333334,109.1,,
"Helsley, Ryan",8,393.0,415,106.3375,111.8,,
"Dobbins, Hunter",6,393.0,436,106.38333333333333,111.3,,
"Knack, Landon",10,392.9,411,103.92,110.3,,
"Fairbanks, Pete",7,392.9,428,103.3,108.1,,
"Estévez, Carlos",5,392.8,412,104.22,108.0,,
"Misiorowski, Jacob",9,392.8,431,103.21111111111111,108.4,,
"Burrows, Mike",13,392.6,419,104.0076923076923,109.3,,
"Crismatt, Nabil",6,392.5,414,102.26666666666667,107.7,,
"Cavalli, Cade",7,392.3,424,102.08571428571429,107.2,,
"Gausman, Kevin",25,392.3,425,104.844,113.1,,
"Webb, Jacob",10,392.1,431,103.4,112.2,,
"Eovaldi, Nathan",10,392.0,439,103.7,110.3,,
"Megill, Tylor",6,392.0,409,106.46666666666665,109.2,,
"Woodruff, Brandon",9,392.0,428,103.98888888888888,109.4,,
"Anderson, Grant",8,391.9,428,103.15,106.8,,
"Brown, Hunter",17,391.7,426,104.01764705882353,109.9,,
"Horton, Cade",10,391.6,426,104.42,113.0,,
"Bassitt, Chris",22,391.6,417,104.92272727272729,111.3,,
"Blanco, Ronel",7,391.6,418,104.12857142857142,108.4,,
"Montero, Keider",17,391.5,432,105.13529411764705,111.6,,
"Woo, Bryan",27,391.4,429,103.92592592592592,111.9,,
"Green, Chad",14,391.4,417,104.44285714285715,107.8,,
"Hancock, Emerson",15,391.3,434,104.25333333333333,111.9,,
"Cabrera, Génesis",12,391.3,420,102.71666666666665,105.5,,
"Verlander, Justin",16,391.2,428,105.58125,110.1,,
"Fedde, Erick",19,391.2,450,104.10526315789474,110.1,,
"Carrasco, Carlos",10,391.2,415,103.54,109.8,,
"Ryan, Joe",26,391.2,448,103.92692307692307,111.5,,
"Dana, Caden",9,391.1,409,102.65555555555555,105.9,,
"Bibee, Tanner",29,391.1,449,103.91724137931034,110.2,,
"Díaz, Alexis",6,391.0,410,104.33333333333333,108.2,,
"Mahle, Tyler",5,391.0,422,103.6,110.9,,
"Kelly, Kevin",11,391.0,442,105.35454545454546,109.8,,
"Bello, Brayan",17,390.9,430,105.02352941176471,110.3,,
"Sands, Cole",7,390.9,418,103.44285714285715,113.2,,
"deGrom, Jacob",27,390.9,447,104.75555555555556,110.4,,
"Civale, Aaron",16,390.8,418,105.55,113.1,,
"Littell, Zack",36,390.8,428,104.59166666666667,114.5,,
"Evans, Logan",13,390.7,448,105.33076923076922,113.3,,
"Fried, Max",16,390.7,429,103.2,112.5,,
"Palencia, Daniel",6,390.7,438,104.01666666666667,109.7,,
"Young, Brandon",12,390.7,429,103.00833333333333,109.3,,
"Schmidt, Clarke",9,390.6,433,103.21111111111111,110.4,,
"Anderson, Shaun",6,390.3,431,102.95,109.5,,
"Gore, MacKenzie",20,390.3,429,105.175,111.8,,
"Wesneski, Hayden",7,390.3,416,105.28571428571429,111.5,,
"Newcomb, Sean",5,390.2,430,104.78,112.1,,
"Gordon, Colton",21,390.1,441,104.38095238095238,113.2,,
"Lodolo, Nick",23,390.0,429,103.58695652173913,115.0,,
"Manaea, Sean",13,390.0,440,103.01538461538462,112.3,,
"Mantiply, Joe",5,390.0,440,103.66,108.9,,
"Brebbia, John",5,390.0,418,103.05999999999999,106.8,,
"Crochet, Garrett",25,390.0,453,103.77600000000001,115.5,,
"Cannon, Jonathan",19,389.9,450,104.8157894736842,114.9,,
"Fernandez, Ryan",7,389.9,434,103.47142857142856,108.8,,
"Lively, Ben",7,389.8,397,105.78333333333335,110.9,,
"Brzykcy, Zach",6,389.8,435,103.91666666666667,110.6,,
"Valdez, Framber",17,389.8,425,104.46470588235294,114.4,,
"Matthews, Zebby",12,389.7,429,104.5,113.5,,
"Matsui, Yuki",10,389.6,413,103.08,108.9,,
"Glasnow, Tyler",12,389.6,426,102.78333333333335,107.8,,
"Williams, Trevor",11,389.5,442,102.77272727272727,114.5,,
"Fisher, Braydon",6,389.5,411,104.8,111.0,,
"Mears, Nick",7,389.4,417,104.31428571428572,109.9,,
"Sale, Chris",11,389.3,462,103.5,116.7,,
"Priester, Quinn",19,389.2,418,102.67894736842106,109.0,,
"Cabrera, Edward",17,389.1,451,104.88235294117646,116.7,,
"Singer, Brady",19,389.1,439,103.53157894736842,110.9,,
"Fluharty, Mason",7,389.0,446,105.55714285714285,114.2,,
"Shugart, Chase",6,389.0,411,107.78333333333335,111.4,,
"Gilbert, Tyler",5,388.8,410,102.34,103.9,,
"Seymour, Ian",5,388.6,426,104.35999999999999,108.1,,
"Martin, Davis",20,388.6,423,105.495,114.7,,
"Lauer, Eric",15,388.5,404,104.70666666666666,113.7,,
"Boyd, Matthew",21,388.5,425,103.33684210526316,111.1,,
"Eisert, Brandon",12,388.3,431,104.75833333333333,111.7,,
"Castillo, Luis",24,388.2,445,103.47500000000001,110.4,,
"Jax, Griffin",7,388.1,420,104.97142857142856,109.5,,
"Kolek, Stephen",9,388.1,420,102.58888888888889,111.7,,
"Rodríguez, Yariel",10,387.9,415,103.52000000000001,108.5,,
"Domínguez, Seranthony",8,387.9,422,103.8,111.5,,
"Bivens, Spencer",6,387.8,413,106.03333333333335,110.7,,
"Myers, Tobias",5,387.8,420,101.86,105.6,,
"Gusto, Ryan",17,387.6,426,104.4235294117647,109.3,,
"Weaver, Luke",10,387.6,421,103.80999999999999,110.4,,
"Cruz, Fernando",5,387.4,418,103.05999999999999,106.4,,
"King, Bryan",10,387.4,411,104.71,108.7,,
"Cano, Yennier",7,387.1,407,103.42857142857143,106.7,,
"Sánchez, Cristopher",12,387.0,418,103.575,108.0,,
"Hicks, Jordan",7,387.0,423,102.18571428571428,107.8,,
"Pepiot, Ryan",26,386.9,442,103.6576923076923,115.7,,
"Nola, Aaron",19,386.9,422,102.98421052631579,111.3,,
"Gillispie, Connor",8,386.6,417,104.925,115.0,,
"Detmers, Reid",6,386.5,423,103.55,106.4,,
"Kittredge, Andrew",9,386.3,419,102.3111111111111,107.7,,
"Gómez, Yoendrys",12,386.1,424,104.24166666666667,109.1,,
"Houser, Adrian",10,386.0,428,103.58,112.9,,
"Cease, Dylan",21,385.8,435,104.48095238095237,110.4,,
"Lazar, Max",7,385.4,408,102.55714285714285,105.8,,
"Bazardo, Eduard",12,385.4,411,104.20833333333333,107.1,,
"Yarbrough, Ryan",13,385.2,440,103.39230769230768,112.9,,
"Pagán, Emilio",10,385.0,422,104.55,110.5,,
"Boyle, Joe",8,385.0,436,105.01666666666667,113.4,,
"Lee, Dylan",13,384.9,423,102.83846153846154,108.0,,
"Rogers, Taylor",7,384.9,448,103.24285714285715,108.3,,
"Jacob, Alek",7,384.8,427,101.47142857142856,111.0,,
"Montgomery, Mason",6,384.8,430,103.85000000000001,110.7,,
"Casparius, Ben",8,384.5,430,102.3125,107.9,,
"Rogers, Tyler",5,384.5,401,99.05,104.8,,
"Johnson, Ryan",5,384.4,397,103.05999999999999,104.7,,
"Wheeler, Zack",19,384.3,427,101.88421052631578,113.9,,
"Montas, Frankie",8,384.2,410,104.0375,112.1,,
"Baz, Shane",26,384.2,433,103.92692307692307,113.9,,
"Eflin, Zach",18,384.2,467,102.36666666666667,111.1,,
"Francis, Bowden",20,384.2,426,103.66,113.1,,
"Boushley, Caleb",5,384.2,425,104.34,108.7,,
"Kerkering, Orion",6,384.2,414,102.3,109.2,,
"Wentz, Joey",11,384.1,433,101.41818181818181,107.8,,
"Ort, Kaleb",8,383.9,414,103.5875,113.8,,
"Leasure, Jordan",12,383.8,409,101.69166666666666,110.3,,
"Salazar, Eduardo",7,383.3,397,103.67142857142858,107.1,,
"Ortiz, Luis L.",12,382.8,399,106.45833333333333,114.6,,
"Olson, Reese",6,382.7,418,101.91666666666667,111.6,,
"Burke, Brock",8,382.4,425,102.5125,110.7,,
"Vargas, Carlos",11,382.4,444,102.9,117.7,,
"Okert, Steven",6,382.0,398,104.45,107.8,,
"Herrin, Tim",6,382.0,421,101.56666666666666,107.3,,
"Rodón, Carlos",24,382.0,434,102.5,112.0,,
"Cleavinger, Garrett",9,381.9,432,103.05555555555556,110.0,,
"Tolle, Payton",5,381.6,417,102.08,111.9,,
"McCullers Jr., Lance",10,381.1,443,102.82000000000001,111.0,,
"Soroka, Michael",12,380.8,415,101.50833333333333,106.3,,
"Hurter, Brant",6,380.0,405,103.14999999999999,107.1,,
"Rasmussen, Drew",18,379.8,414,103.93333333333334,115.6,,
"Alvarado, Elvis",6,379.5,398,101.64999999999999,103.5,,
